Timestamp,Strengths,Firsts,Lasts,Minimums,Maximums
1541331956986,642365,638765,635041,590726,739842
1541332112470,641126,632597,631360,590726,739726
1541332329697,641126,633227,632985,590726,739726
1541332476540,644060,638327,634593,590726,740993
1541332476600,644060,638327,634593,592395,739339
1541332609030,644060,638327,634593,590726,739339
1541332749780,644060,638327,634593,590726,739339
1541332846228,633810,636384,629453,583389,716713
1541333007257,633810,636384,629453,583389,716713
1541333075944,633844,636467,631352,583389,726360
1541333400700,633844,636467,631352,583389,726360
1541333629770,633844,636467,631352,583389,726360
1541333751744,642251,637489,635242,588399,738875
1541333772287,642251,637489,635242,588399,738875
1541333909200,642251,637489,635242,588583,738875
1541333947068,642251,637489,635242,588583,738875
1541333972515,643490,643027,637298,588583,741301
1541333986031,643841,644089,640252,590856,742955
1541334052060,643841,644089,640252,590856,742955
1541334059590,643967,644933,640406,591004,746105
1541334132510,644252,653180,641996,591004,746221
1541334157791,644709,653390,641996,591220,746391
1541334251560,644709,653390,641996,591980,746391
1541334279010,644424,645143,640406,591220,746275
1541334282440,644709,653390,641996,588947,746391
1541334367560,647213,654761,648846,591220,747305
1541334410890,647213,654761,648846,591220,747305
1541334443850,647213,653917,648846,591072,747305
1541334460760,651274,657188,648960,591832,747305
1541334462620,652492,658032,651910,591980,748115
1541334554071,652492,658032,651910,591980,748115
1541334588731,648431,654761,651796,596553,747201
1541334705520,650163,654761,652477,596613,747201
1541334770802,650163,654761,652477,596613,747201
1541334843518,650163,654761,652477,592040,747201
1541334845728,650163,654761,652477,596613,747201
1541334847411,650163,654761,652477,596613,747201
1541334892690,654224,658032,652591,596613,748115
1541334919146,654224,658032,652591,596613,748115
1541334966430,650163,654761,652477,596613,748115
1541334969350,651418,654761,652477,592040,753747
1541335079940,648468,653917,651796,592040,752937
1541335177064,652751,658767,652550,594260,753928
1541335240930,652751,658767,652550,594260,748296
1541335283202,652751,658767,652550,594260,748296
1541335318160,652751,662038,652550,598833,763589
1541335377756,654594,662959,653800,602829,771274
1541335444608,653339,662959,646950,602829,771274
1541335556402,656289,663803,647631,603469,771274
1541335559228,653339,663803,646950,602829,771274
1541335603440,654594,663803,653800,610186,771274
1541335653800,655674,664433,655430,611005,773693
1541335720673,655674,664433,655430,611005,773693
1541335867660,655674,664433,655430,611005,773693
1541335902827,655674,664433,655430,611005,773693
1541335961830,655674,664433,655430,611005,773693
1541336082140,655674,664433,655430,611005,773693
1541336103110,662864,666803,655840,611326,774119
1541336106770,662864,666803,655840,611326,774119
1541336139280,662864,677424,655840,611326,774119
